COUNTRY,YEAR,MONTH,TOTAL_PRODUCTION,DOMESTIC_CONSUMPTION,EXPORTABLE_PRODUCTION,GROSS_OPENING_STOCKS
Central African Republic,2008/09,October,59.616,5,54.616,8.333
Colombia,2008/09,October,8663.2373,1290.5,7372.7373,178.481
"Congo, Dem. Rep. of",2008/09,October,421.9583,200,221.9583,0
Costa Rica,2008/09,October,1499.918,267.859,1232.059,120
Côte d'Ivoire,2008/09,October,2526.3263,317,2209.3263,584.231
El Salvador,2008/09,October,1450.2264,244.3,1205.9264,15.2
Equatorial Guinea,2008/09,October,0,0,0,0
Ethiopia,2008/09,October,4948.9869,3048,1900.9869,1200
Gabon,2008/09,October,2.067,275,1.792,0
Ghana,2008/09,October,26.4006,2,24.4006,0
Guatemala,2008/09,October,3784.9658,335,3449.9658,8
Guinea,2008/09,October,504.7819,50,454.7819,1
Guyana,2008/09,October,9.8722,8.467,1.4052,0
Honduras,2008/09,October,3449.9872,268.333,3181.6542,98.14
India,2008/09,October,4378.002,1573.336,2804.666,926
Jamaica,2008/09,October,31.8915,9,22.8915,7
Kenya,2008/09,October,541.075,50,491.075,75
"Lao, People's Dem. Rep. of",2008/09,October,405.6104,150,255.6104,0
Liberia,2008/09,October,12.4117,5,7.4117,0
Mexico,2008/09,October,4650.6492,2200,2450.6492,120
Nepal,2008/09,October,1.4624,0,1.4624,0
Nicaragua,2008/09,October,1444.7342,194.147,1250.5872,204.411
Nigeria,2008/09,October,50.0048,40,10.0048,0
Panama,2008/09,October,149.1609,67,82.1609,5
Sierra Leone,2008/09,October,86.2856,5,81.2856,0
Sri Lanka,2008/09,October,30.8644,30,0.8644,0
Thailand,2008/09,October,674.5626,600,74.5626,11
Togo,2008/09,October,137.7531,2,135.7531,9
Trinidad & Tobago,2008/09,October,11.4194,11,0.4194,0
Uganda,2008/09,October,3335.167,185,3150.167,379.554
Venezuela,2008/09,October,932.4219,1649.26,0,7
Vietnam,2008/09,October,18438.1201,1021,17417.1201,526
Yemen,2008/09,October,219.7968,130,89.7968,0
Angola,2009/10,April,13.42,30,0,40
Bolivia,2009/10,April,142.4751,60,82.4751,0
Brazil,2009/10,April,43976.812,18390,25586.812,15766
Burundi,2009/10,April,111.613,1.399,110.214,40.465
Ecuador,2009/10,April,813.2849,150,663.2849,8
Indonesia,2009/10,April,11379.6699,3333,8046.6699,668
Madagascar,2009/10,April,456.9613,467,0,111
Malawi,2009/10,April,16.922,1,15.922,0
Papua New Guinea,2009/10,April,1037.9942,2,1035.9942,38
Paraguay,2009/10,April,20.0167,20,0.0167,0
Peru,2009/10,April,3286.0867,250,3036.0867,0
Rwanda,2009/10,April,258.9411,1,257.9411,28
Timor-Leste,2009/10,April,46.9126,0,46.9126,0
Zimbabwe,2009/10,April,21.3683,4,17.3683,0
"Congo, Rep. of",2009/10,July,3,3,0,0
Cuba,2009/10,July,92.103,220,0,12
Dominican Republic,2009/10,July,352.4645,378,0,205.928
Haiti,2009/10,July,350.5835,340,10.5835,0
Philippines,2009/10,July,730.4181,1820,0,0
Tanzania,2009/10,July,674.9343,47,627.9343,36
Zambia,2009/10,July,28.217,0,28.217,0
Benin,2009/10,October,0,0,0,0
Cameroon,2009/10,October,902.2813,69,833.2813,125
Central African Republic,2009/10,October,112.109,8.333,103.776,3.333
Colombia,2009/10,October,8097.7801,1269.863,6827.9171,75.058
"Congo, Dem. Rep. of",2009/10,October,345.8372,200,145.8372,49
Costa Rica,2009/10,October,1476.7476,295.441,1181.3066,51.186
Côte d'Ivoire,2009/10,October,1988.6994,317,1671.6994,1177.745
El Salvador,2009/10,October,1074.6297,268.3,806.3297,15.8
Equatorial Guinea,2009/10,October,0,0,0,0
Ethiopia,2009/10,October,6931.199,3210,3721.199,1233
Gabon,2009/10,October,493,0.25,243,1.117
Ghana,2009/10,October,36.9277,2,34.9277,5
Guatemala,2009/10,October,3834.7868,320,3514.7868,2
Guinea,2009/10,October,499.2465,50,449.2465,95
Guyana,2009/10,October,9.1767,8.233,0.9437,0
Honduras,2009/10,October,3602.9169,306.667,3296.2499,159.914
India,2009/10,October,4826.6521,1700,3126.6521,777
Jamaica,2009/10,October,25.0842,9,16.0842,5
Kenya,2009/10,October,629.74,50,579.74,25
"Lao, People's Dem. Rep. of",2009/10,October,433.8689,150,283.8689,13
Liberia,2009/10,October,12.692,5,7.692,0
Mexico,2009/10,October,4108.6243,2200,1908.6243,332
Nepal,2009/10,October,1.1083,0,1.1083,0
Nicaragua,2009/10,October,1871.1206,196.622,1674.4986,63.48
Nigeria,2009/10,October,34.2687,40,0,8
Panama,2009/10,October,137.7393,67,70.7393,22
Sierra Leone,2009/10,October,90.7017,5,85.7017,15
Sri Lanka,2009/10,October,31.5032,30,1.5032,0
Thailand,2009/10,October,794.7965,700,94.7965,2
Togo,2009/10,October,201.8831,2,199.8831,3
Trinidad & Tobago,2009/10,October,11.4069,11,0.4069,0
Uganda,2009/10,October,2893.876,188.7,2705.176,476.033
Venezuela,2009/10,October,1213.7061,1650,0,0
Vietnam,2009/10,October,17825.3453,1208,16617.3453,640
Yemen,2009/10,October,135.1816,130,5.1816,43
Angola,2010/11,April,34.97,30,4.97,20
Bolivia,2010/11,April,129.7249,60,69.7249,0
Brazil,2010/11,April,53428.4102,19132,34296.4102,11098
Burundi,2010/11,April,352.9776,2,350.9776,6.742
Ecuador,2010/11,April,853.9798,150,703.9798,12
Indonesia,2010/11,April,9128.5118,3333,5795.5118,725
Madagascar,2010/11,April,529.7233,467,62.7233,56
Malawi,2010/11,April,16.9285,1,15.9285,0
Papua New Guinea,2010/11,April,866.5184,1.43,865.0884,25
Paraguay,2010/11,April,20.1965,20,0.1965,0
Peru,2010/11,April,4068.823,250,3818.823,37
Rwanda,2010/11,April,322.9191,1,321.9191,19
Timor-Leste,2010/11,April,60.1017,0.49,59.6117,0
Zimbabwe,2010/11,April,10.0859,4,6.0859,0
"Congo, Rep. of",2010/11,July,3,3,0,0
Cuba,2010/11,July,108.497,220,0,8
Dominican Republic,2010/11,July,378.1562,378,0.1562,124.593
Haiti,2010/11,July,349.5281,340,9.5281,0
Philippines,2010/11,July,189.0533,2125,0,0
Tanzania,2010/11,July,845.9077,47,798.9077,16
Zambia,2010/11,July,13.1783,0,13.1783,0
Benin,2010/11,October,0,0,0,0
Cameroon,2010/11,October,527.1347,68.333,458.8017,136.75
Central African Republic,2010/11,October,78.462,10,68.462,18.85
Colombia,2010/11,October,8522.6874,1307.808,7214.8794,122.151
"Congo, Dem. Rep. of",2010/11,October,305.1575,200,105.1575,32
Costa Rica,2010/11,October,1613.6996,407.221,1206.4786,62.237
Côte d'Ivoire,2010/11,October,836.724,317,519.724,819.996
El Salvador,2010/11,October,1873.269,276,1597.269,18.2
Equatorial Guinea,2010/11,October,0,0,0,0
Ethiopia,2010/11,October,7500.3848,3383,4117.3848,2050
Gabon,2010/11,October,1.8323,947,0.8853,0.55
Ghana,2010/11,October,92.3075,2,90.3075,8
Guatemala,2010/11,October,3949.9335,340,3609.9335,71
Guinea,2010/11,October,386.4609,50,336.4609,82
Guyana,2010/11,October,9.1433,8.5,0.6433,0
Honduras,2010/11,October,4330.6854,335,3995.6854,95.312
India,2010/11,October,5032.9734,1800,3232.9734,923
Jamaica,2010/11,October,20.5548,9,11.5548,5
Kenya,2010/11,October,640.8736,50,590.8736,98
"Lao, People's Dem. Rep. of",2010/11,October,544.3616,150,394.3616,6
Liberia,2010/11,October,10.4386,5,5.4386,0
Mexico,2010/11,October,4001.4319,2354,1647.4319,479
Nepal,2010/11,October,3.0825,0,3.0825,0
Nicaragua,2010/11,October,1637.8216,202.745,1435.0766,83.175
Nigeria,2010/11,October,42.0553,40,2.0553,0
Panama,2010/11,October,113.8499,67,46.8499,29
Sierra Leone,2010/11,October,32.9146,5,27.9146,3
Sri Lanka,2010/11,October,37.0877,35,2.0877,0
Thailand,2010/11,October,828.1734,775,53.1734,8
Togo,2010/11,October,160.2912,2,158.2912,904
Trinidad & Tobago,2010/11,October,10.3587,10,0.3587,0
Uganda,2010/11,October,3267.232,204,3063.232,512.238
Venezuela,2010/11,October,1202.1338,1650,0,0
Vietnam,2010/11,October,19999.9999,1583,18416.9999,2716
Yemen,2010/11,October,161.1675,130,31.1675,5
Angola,2011/12,April,28.715,30,0,20
Bolivia,2011/12,April,142.8354,60,82.8354,0
Brazil,2011/12,April,50591.8289,19720,30871.8289,11340
Burundi,2011/12,April,204.1328,2,202.1328,7
Ecuador,2011/12,April,825.4144,150,675.4144,10
Indonesia,2011/12,April,6888.9233,3667,3221.9233,873
Madagascar,2011/12,April,584.8528,450,134.8528,30
Malawi,2011/12,April,25.8264,1,24.8264,0
Papua New Guinea,2011/12,April,1413.8545,1.236,1412.6185,10
Paraguay,2011/12,April,20.0195,20,0.0195,0
Peru,2011/12,April,5372.5296,250,5122.5296,24
Rwanda,2011/12,April,251.071,1,250.071,13
Timor-Leste,2011/12,April,47.3531,0.49,46.8631,0
Zimbabwe,2011/12,April,8.8564,4,4.8564,0
"Congo, Rep. of",2011/12,July,3,3,0,0
Cuba,2011/12,July,100.158,220,0,8
Dominican Republic,2011/12,July,490.5415,378,112.5415,58
Haiti,2011/12,July,349.1949,340,9.1949,0
Philippines,2011/12,July,179.6611,2175,0,0
Tanzania,2011/12,July,641.0391,58.95,582.0891,20
Zambia,2011/12,July,11.1889,0,11.1889,0
Benin,2011/12,October,0,0,0,0
Cameroon,2011/12,October,669.3245,70.017,599.3075,26.375
Central African Republic,2011/12,October,91.325,13.333,77.992,0
Colombia,2011/12,October,7652.1286,1438.709,6213.4196,162.577
"Congo, Dem. Rep. of",2011/12,October,356.5382,200,156.5382,5.044
Costa Rica,2011/12,October,1830.8955,380.888,1450.0075,59.223
Côte d'Ivoire,2011/12,October,2216.3419,317,1899.3419,381.376
El Salvador,2011/12,October,1163.7647,273.4,890.3647,71.6
Equatorial Guinea,2011/12,October,0,0,0,0
Ethiopia,2011/12,October,6798.4099,3383,3415.4099,417
Gabon,2011/12,October,782,1.032,0,683
Ghana,2011/12,October,93.7062,2,91.7062,5
Guatemala,2011/12,October,3850.3876,350,3500.3876,27
Guinea,2011/12,October,385.5106,50,335.5106,60
Guyana,2011/12,October,10.0809,8.6,1.4809,0
Honduras,2011/12,October,5882.1354,340,5542.1354,163.679
India,2011/12,October,5232.5414,1917,3315.5414,1250
Jamaica,2011/12,October,24.0073,9,15.0073,0
Kenya,2011/12,October,757.3153,50,707.3153,34
"Lao, People's Dem. Rep. of",2011/12,October,514.0001,150,364.0001,0
Liberia,2011/12,October,10.2354,5,5.2354,0
Mexico,2011/12,October,4561.0578,2354,2207.0578,255
Nepal,2011/12,October,2.0111,0,2.0111,0
Nicaragua,2011/12,October,2193.421,205.261,1988.16,20.583
Nigeria,2011/12,October,46.8796,40,6.8796,0
Panama,2011/12,October,105.6314,67,38.6314,20
Sierra Leone,2011/12,October,78.2979,5,73.2979,3
Sri Lanka,2011/12,October,35.6993,35,0.6993,0
Thailand,2011/12,October,831.2755,1100,0,8
Togo,2011/12,October,160.047,0.21,159.837,0.05
Trinidad & Tobago,2011/12,October,11.1577,10,1.1577,0
Uganda,2011/12,October,3115.063,210,2905.063,425.38
Venezuela,2011/12,October,902.0717,1650,0,0
Vietnam,2011/12,October,26499.6111,1650,24849.6111,3750
Yemen,2011/12,October,185.0677,130,55.0677,0
Angola,2012/13,April,32.79,30,2.79,10
Bolivia,2012/13,April,114.7812,60,54.7812,0
Brazil,2012/13,April,55420.225,20330,35090.225,10063
Burundi,2012/13,April,405.9615,2,403.9615,7
Ecuador,2012/13,April,828.1024,150,678.1024,2.3
Indonesia,2012/13,April,13070.0386,3900,9170.0386,450
Madagascar,2012/13,April,499.7094,430,69.7094,30
Malawi,2012/13,April,22.8262,1,21.8262,0
Papua New Guinea,2012/13,April,716.488,1.711,714.777,5
Paraguay,2012/13,April,20.0065,20,0.0065,0
Peru,2012/13,April,4450.0478,250,4200.0478,93
Rwanda,2012/13,April,258.5591,1,257.5591,13
Timor-Leste,2012/13,April,60.7483,0.49,60.2583,0
Zimbabwe,2012/13,April,7.3208,4,3.3208,0
"Congo, Rep. of",2012/13,July,3,3,0,0
Cuba,2012/13,July,88.142,220,0,0
Dominican Republic,2012/13,July,488.4307,378,110.4307,61
Haiti,2012/13,July,349.7319,340,9.7319,0
Philippines,2012/13,July,177.4616,2325,0,0
Tanzania,2012/13,July,1151.1215,71.7,1079.4215,34.65
Zambia,2012/13,July,5.3695,0,5.3695,0
Benin,2012/13,October,0,0,0,0
Cameroon,2012/13,October,371.0197,71.733,299.2867,47.076
Central African Republic,2012/13,October,22.89,16.667,6.223,0.3
Colombia,2012/13,October,9926.7855,1441.209,8485.5765,114.027
"Congo, Dem. Rep. of",2012/13,October,334.0453,200,134.0453,4
Costa Rica,2012/13,October,1822.6906,423.097,1399.5936,125.222
Côte d'Ivoire,2012/13,October,1993.8367,317,1676.8367,637.129
El Salvador,2012/13,October,1239.5852,276.6,962.9852,80
Equatorial Guinea,2012/13,October,0,0,0,0
Ethiopia,2012/13,October,6233.0066,3400,2833.0066,1000
Gabon,2012/13,October,751,967,0,433
Ghana,2012/13,October,82.0067,2,80.0067,3
Guatemala,2012/13,October,3762.9331,360,3402.9331,16
Guinea,2012/13,October,233.5545,50,183.5545,15
Guyana,2012/13,October,9.9779,8.7,1.2779,0
Honduras,2012/13,October,4685.9958,345,4340.9958,231.942
India,2012/13,October,5303.4408,2000,3303.4408,1300
Jamaica,2012/13,October,23.7159,9,14.7159,0
Kenya,2012/13,October,875.4455,50,825.4455,14
"Lao, People's Dem. Rep. of",2012/13,October,541.4914,150,391.4914,0
Liberia,2012/13,October,10.1213,5,5.1213,0
Mexico,2012/13,October,4326.9422,2354,1972.9422,400
Nepal,2012/13,October,1.2073,0,1.2073,0
Nicaragua,2012/13,October,1873.4749,207.864,1665.6109,348.203
Nigeria,2012/13,October,40.7637,40,0.7637,0
Panama,2012/13,October,115.5198,67,48.5198,10
Sierra Leone,2012/13,October,61.1833,5,56.1833,2
Sri Lanka,2012/13,October,35.2484,35,0.2484,0
Thailand,2012/13,October,608.0946,1130,0,10
Togo,2012/13,October,84.0589,242,83.8169,8.633
Trinidad & Tobago,2012/13,October,12.2272,10,2.2272,0
Uganda,2012/13,October,3913.502,216,3697.502,603.494
Venezuela,2012/13,October,952.4201,1650,0,0
Vietnam,2012/13,October,23402.1057,1825,21577.1057,2750
Yemen,2012/13,October,187.5251,130,57.5251,0
Angola,2013/14,April,34.935,30,4.935,5
Bolivia,2013/14,April,127.9122,60,67.9122,0
Brazil,2013/14,April,54698.0833,20085,34613.0833,15868
Burundi,2013/14,April,163.2177,2,161.2177,5
Ecuador,2013/14,April,665.545,155,510.545,2
Indonesia,2013/14,April,12817.9493,4167,8650.9493,650
Madagascar,2013/14,April,584.4758,410,174.4758,10
Malawi,2013/14,April,27.7944,1,26.7944,0
Papua New Guinea,2013/14,April,835.3594,2.039,833.3204,5
Paraguay,2013/14,April,20.0069,20,0.0069,0
Peru,2013/14,April,4106.2383,250,3856.2383,82
Rwanda,2013/14,April,257.7282,1,256.7282,10
Timor-Leste,2013/14,April,80.2182,0.49,79.7282,0
Zimbabwe,2013/14,April,8.6415,4,4.6415,0
"Congo, Rep. of",2013/14,July,3,3,0,0
Cuba,2013/14,July,106.685,220,0,0
Dominican Republic,2013/14,July,425.3936,383.333,42.0606,58
Haiti,2013/14,July,345.2098,340,5.2098,0
Philippines,2013/14,July,185.682,2550,0,0
Tanzania,2013/14,July,810.9352,73.467,737.4682,51.65
Zambia,2013/14,July,10.7527,0,10.7527,0
Benin,2013/14,October,0,0,0,0
Cameroon,2013/14,October,403.8311,73.483,330.3481,22.043
Central African Republic,2013/14,October,90.104,20,70.104,5.523
Colombia,2013/14,October,12163.1252,1468.973,10694.1522,231.621
"Congo, Dem. Rep. of",2013/14,October,347.087,200,147.087,4
Costa Rica,2013/14,October,1552.0761,335.06,1217.0161,144.72
Côte d'Ivoire,2013/14,October,2597.7673,317,2280.7673,575.18
El Salvador,2013/14,October,514.9996,275,239.9996,72.5
Equatorial Guinea,2013/14,October,0,0,0,0
Ethiopia,2013/14,October,6427.4439,3550,2877.4439,667
Gabon,2013/14,October,383,583,0,217
Ghana,2013/14,October,44.7367,2,42.7367,2
Guatemala,2013/14,October,3189.3714,370,2819.3714,12
Guinea,2013/14,October,101.1902,50,51.1902,10
Guyana,2013/14,October,1.6819,8.8,0,0
Honduras,2013/14,October,4583.0246,350,4233.0246,232.574
India,2013/14,October,5075.3312,2100,2975.3312,1320
Jamaica,2013/14,October,19.8292,9,10.8292,0
Kenya,2013/14,October,837.9501,50,787.9501,20
"Lao, People's Dem. Rep. of",2013/14,October,538.0728,150,388.0728,0
Liberia,2013/14,October,5.939,5,939,0
Mexico,2013/14,October,3916.4766,2321,1595.4766,400
Nepal,2013/14,October,0.9054,0,0.9054,0
Nicaragua,2013/14,October,2059.8628,209.561,1850.3018,76.622
Nigeria,2013/14,October,40.8582,40,0.8582,0
Panama,2013/14,October,113.4685,67,46.4685,10
Sierra Leone,2013/14,October,31.7346,5,26.7346,2
Sri Lanka,2013/14,October,37.0825,35,2.0825,0
Thailand,2013/14,October,638.0038,1200,0,5
Togo,2013/14,October,171.5059,238,171.2679,9.567
Trinidad & Tobago,2013/14,October,12.2242,10,2.2242,0
Uganda,2013/14,October,3632.867,220.8,3412.067,717.737
Venezuela,2013/14,October,803.7688,1650,0,0
Vietnam,2013/14,October,27609.7814,2000,25609.7814,3200
Yemen,2013/14,October,187.2981,130,57.2981,0
Angola,2014/15,April,39.405,30,9.405,5
Bolivia,2014/15,April,106.3766,60,46.3766,0
Brazil,2014/15,April,52298.9787,20333,31965.9787,17720
Burundi,2014/15,April,247.55,2,245.55,7
Ecuador,2014/15,April,644.0112,155,489.0112,3
Indonesia,2014/15,April,10862.2773,4333,6529.2773,600
Madagascar,2014/15,April,501.4544,390,111.4544,10
Malawi,2014/15,April,24.7098,1,23.7098,0
Papua New Guinea,2014/15,April,797.5642,1.924,795.6402,5
Paraguay,2014/15,April,20.0725,20,0.0725,0
Peru,2014/15,April,2883.229,250,2633.229,60
Rwanda,2014/15,April,238.3438,1,237.3438,10
Timor-Leste,2014/15,April,110.9242,0.49,110.4342,0
Zimbabwe,2014/15,April,15.0124,4,11.0124,0
"Congo, Rep. of",2014/15,July,3,3,0,0
Cuba,2014/15,July,101.421,220,0,0
Dominican Republic,2014/15,July,396.9541,388,8.9541,45
Haiti,2014/15,July,343.2067,340,3.2067,0
Philippines,2014/15,July,193.2142,2800,0,0
Tanzania,2014/15,July,752.6685,76.717,675.9515,38.95
Zambia,2014/15,July,2.6111,0,2.6111,0
Benin,2014/15,October,0,0,0,0
Cameroon,2014/15,October,483.1051,75.317,407.7881,20
Central African Republic,2014/15,October,62.614,20,42.614,0.6
Colombia,2014/15,October,13339.4695,1504.744,11834.7255,214.051
"Congo, Dem. Rep. of",2014/15,October,334.871,200,134.871,3
Costa Rica,2014/15,October,1475.0612,380.742,1094.3192,125.173
Côte d'Ivoire,2014/15,October,1728.0433,317,1411.0433,1153.453
El Salvador,2014/15,October,664.9995,280,384.9995,18.5
Equatorial Guinea,2014/15,October,0,0,0,0
Ethiopia,2014/15,October,6575.2618,3625,2950.2618,500
Gabon,2014/15,October,517,517,0,17
Ghana,2014/15,October,18.6847,2,16.6847,2
Guatemala,2014/15,October,3310.0759,380,2930.0759,10
Guinea,2014/15,October,165.1077,50,115.1077,10
Guyana,2014/15,October,8.5834,8.9,0,0
Honduras,2014/15,October,5268.2161,355,4913.2161,293.075
India,2014/15,October,5449.867,2200,3249.867,1100
Jamaica,2014/15,October,21.0512,9,12.0512,0
Kenya,2014/15,October,764.7629,50,714.7629,25
"Lao, People's Dem. Rep. of",2014/15,October,498.5298,150,348.5298,0
Liberia,2014/15,October,7.0733,5,2.0733,0
Mexico,2014/15,October,3591.2,2347,1244.2,800
Nepal,2014/15,October,2.1378,0,2.1378,0
Nicaragua,2014/15,October,1897.6828,211.742,1685.9408,150.312
Nigeria,2014/15,October,42.7982,40,2.7982,0
Panama,2014/15,October,106.2169,67,39.2169,8
Sierra Leone,2014/15,October,46.4478,5,41.4478,2
Sri Lanka,2014/15,October,35.7018,35,0.7018,0
Thailand,2014/15,October,844.8871,1250,0,16.667
Togo,2014/15,October,143.2417,195,143.0467,46.683
Trinidad & Tobago,2014/15,October,12.0013,10,2.0013,0
Uganda,2014/15,October,3744.477,229.2,3515.277,629.975
Venezuela,2014/15,October,650.3983,1650,0,0
Vietnam,2014/15,October,26499.8404,2200,24299.8404,3500
Yemen,2014/15,October,183.3814,130,53.3814,0
Angola,2015/16,April,40.515,30,10.515,5
Bolivia,2015/16,April,89.2191,60,29.2191,0
Brazil,2015/16,April,52425.6396,20508,31917.6396,12810
Burundi,2015/16,April,274.1017,2,272.1017,7
Ecuador,2015/16,April,644.4926,155,489.4926,3
Indonesia,2015/16,April,12535.4751,4500,8035.4751,450
Madagascar,2015/16,April,425.2061,370,55.2061,10
Malawi,2015/16,April,21.2015,1,20.2015,0
Papua New Guinea,2015/16,April,711.9818,1.8,710.1818,5
Paraguay,2015/16,April,20,20,0,0
Peru,2015/16,April,3303.5542,250,3053.5542,50
Rwanda,2015/16,April,292.6292,1,291.6292,10
Timor-Leste,2015/16,April,59.1588,0.49,58.6688,0
Zimbabwe,2015/16,April,14.2836,4,10.2836,0
"Congo, Rep. of",2015/16,July,3,3,0,0
Cuba,2015/16,July,99.8181,220,0,0
Dominican Republic,2015/16,July,399.9543,388,11.9543,35
Haiti,2015/16,July,340.8647,340,0.8647,0
Philippines,2015/16,July,208.0726,3000,0,0
Tanzania,2015/16,July,930.172,92.05,838.122,37.183
Zambia,2015/16,July,3.689,0,3.689,0
Benin,2015/16,October,0,0,0,0
Cameroon,2015/16,October,390.8379,76,314.8379,30
Central African Republic,2015/16,October,100.068,20,80.068,0
Colombia,2015/16,October,14009.1524,1671.791,12337.3614,299.465
"Congo, Dem. Rep. of",2015/16,October,370.6123,200,170.6123,3
Costa Rica,2015/16,October,1440.1724,448.821,991.3514,74.88
Côte d'Ivoire,2015/16,October,1289.0845,317,972.0845,1236.776
El Salvador,2015/16,October,565,285,280,10.7
Equatorial Guinea,2015/16,October,0,0,0,0
Ethiopia,2015/16,October,6713.9754,3700,3013.9754,578
Gabon,2015/16,October,741,0.5,241,17
Ghana,2015/16,October,9.3777,2,7.3777,2
Guatemala,2015/16,October,3409.781,390,3019.781,15
Guinea,2015/16,October,286.4455,50,236.4455,10
Guyana,2015/16,October,10.9693,9,1.9693,0
Honduras,2015/16,October,5785.776,365,5420.776,186.219
India,2015/16,October,5800.3381,2250,3550.3381,1350
Jamaica,2015/16,October,20.0121,9,11.0121,0
Kenya,2015/16,October,789.1671,50,739.1671,20
"Lao, People's Dem. Rep. of",2015/16,October,515.6519,150,365.6519,0
Liberia,2015/16,October,10.0467,5,5.0467,0
Mexico,2015/16,October,2903.395,2329,574.395,800
Nepal,2015/16,October,1.6763,0,1.6763,0
Nicaragua,2015/16,October,2133.4314,213.946,1919.4854,63.912
Nigeria,2015/16,October,41.2782,40,1.2782,0
Panama,2015/16,October,127.0784,67,60.0784,4
Sierra Leone,2015/16,October,45.9276,5,40.9276,2
Sri Lanka,2015/16,October,36.1933,35,1.1933,0
Thailand,2015/16,October,761.9808,1300,0,8
Togo,2015/16,October,80.9232,0.22,80.7032,6.35
Trinidad & Tobago,2015/16,October,11.7897,10,1.7897,0
Uganda,2015/16,October,3649.567,234,3415.567,690
Venezuela,2015/16,October,500.1259,1650,0,0
Vietnam,2015/16,October,28736.5941,2300,26436.5941,5000
Yemen,2015/16,October,171.246,130,41.246,0
Angola,2016/17,April,44.83,30,14.83,5
Bolivia,2016/17,April,80.9835,60,20.9835,0
Brazil,2016/17,April,56763.7634,21225,35538.7634,7800
Burundi,2016/17,April,248.7933,2,246.7933,5
Ecuador,2016/17,April,644.8845,155,489.8845,3
Indonesia,2016/17,April,11491.0266,4600,6891.0266,500
Madagascar,2016/17,April,420.8227,360,60.8227,10
Malawi,2016/17,April,19.516,1,18.516,0
Papua New Guinea,2016/17,April,1171.1449,2,1169.1449,5
Paraguay,2016/17,April,20.0101,20,0.0101,0
Peru,2016/17,April,4222.8784,250,3972.8784,40
Rwanda,2016/17,April,231.0905,1,230.0905,10
Timor-Leste,2016/17,April,82.0206,0.49,81.5306,0
Zimbabwe,2016/17,April,15.1183,4,11.1183,0
"Congo, Rep. of",2016/17,July,3,3,0,0
Cuba,2016/17,July,102.6,220,0,0
Dominican Republic,2016/17,July,412.2085,390,22.2085,27
Haiti,2016/17,July,341.5781,340,1.5781,0
Philippines,2016/17,July,214.6417,3000,0,0
Tanzania,2016/17,July,846.0919,91.3,754.7919,46.833
Zambia,2016/17,July,13.3181,0,13.3181,0
Benin,2016/17,October,0,0,0,0
Cameroon,2016/17,October,291.8761,77,214.8761,35
Central African Republic,2016/17,October,36.5467,20,16.5467,0
Colombia,2016/17,October,14634.0003,1736.4414,12897.5589,376.678
"Congo, Dem. Rep. of",2016/17,October,323.927,200,123.927,3
Costa Rica,2016/17,October,1371.8963,329.457,1042.4393,71.491
Côte d'Ivoire,2016/17,October,817.4045,317,500.4045,665.462
El Salvador,2016/17,October,609.9996,292,317.9996,10.1
Equatorial Guinea,2016/17,October,0,0,0,0
Ethiopia,2016/17,October,7296.9796,3725,3571.9796,500
Gabon,2016/17,October,0.5,0.5,0,258
Ghana,2016/17,October,7.8839,2,5.8839,2
Guatemala,2016/17,October,3684.209,390,3294.209,15
Guinea,2016/17,October,269.9426,50,219.9426,10
Guyana,2016/17,October,10.0482,9,1.0482,0
Honduras,2016/17,October,7456.8976,370,7086.8976,466.99
India,2016/17,October,5199.9436,2300,2899.9436,1400
Jamaica,2016/17,October,18.0447,9,9.0447,0
Kenya,2016/17,October,782.7675,50,732.7675,20
"Lao, People's Dem. Rep. of",2016/17,October,464.5497,150,314.5497,0
Liberia,2016/17,October,12.0867,5,7.0867,0
Mexico,2016/17,October,3780.715,2360,1420.715,630
Nepal,2016/17,October,1.4328,0,1.4328,0
Nicaragua,2016/17,October,2574.74,216.728,2358.012,106.988
Nigeria,2016/17,October,43.3182,40,3.3182,0
Panama,2016/17,October,120.1902,67,53.1902,4
Sierra Leone,2016/17,October,37.9217,5,32.9217,2
Sri Lanka,2016/17,October,36.7161,35,1.7161,0
Thailand,2016/17,October,537.5435,1300,0,8
Togo,2016/17,October,21.9932,254,21.7392,13.767
Trinidad & Tobago,2016/17,October,11.7911,10,1.7911,0
Uganda,2016/17,October,4962.158,240,4722.158,790
Venezuela,2016/17,October,525,1650,0,0
Vietnam,2016/17,October,25540.2932,2400,23140.2932,5000
Yemen,2016/17,October,173.4533,130,43.4533,0
Angola,2017/18,April,35.006,30,5.006,5
Bolivia,2017/18,April,85.3112,60,25.3112,0
Brazil,2017/18,April,51000.1728,21997,29003.1728,9872
Burundi,2017/18,April,175.8033,2,173.8033,5
Ecuador,2017/18,April,623.5744,155,468.5744,3
Indonesia,2017/18,April,10902.3153,4700,6202.3153,500
Madagascar,2017/18,April,406.6854,350,56.6854,10
Malawi,2017/18,April,11.7396,1,10.7396,0
Papua New Guinea,2017/18,April,733.9382,2,731.9382,5
Paraguay,2017/18,April,20.0024,20,0.0024,0
Peru,2017/18,April,4279.6122,250,4029.6122,40
Rwanda,2017/18,April,244.5804,1,243.5804,10
Timor-Leste,2017/18,April,73.2951,0.49,72.8051,0
Zimbabwe,2017/18,April,6.3854,4,2.3854,0
"Congo, Rep. of",2017/18,July,3,3,0,0
Cuba,2017/18,July,100,220,0,0
Dominican Republic,2017/18,July,400,390,10,25
Haiti,2017/18,July,340,340,0,0
